Titulo,Genero,Online,Local,Combo,info1,info2,info3,info4
GOD EATER 3,Action RPG,8,Not available,Not available,8 Players in Co-Op,,,
GOD EATER: Resurrection,Action RPG,4,Not available,Not available,,,,
Golazo! 2,Sports game,Not available,4,Not available,,,,
Golazo! Soccer League,Sports game,Not available,4,Not available,,,,
GONNER2,Platform Shooter,Not available,4,Not available,,,,
Gotham Knights,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Granblue Fantasy: Relink,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Granblue Fantasy: Relink,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Grand Theft Auto Online,Action,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Grand Theft Auto V,Action Games,16,Not available,Not available,16 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Grand Theft Auto V,Action,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
GRAVEN,First Person Shooter,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
GRAVEN,FPS,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Gravity Heroes,Action Games,Not available,4,Not available,,,,
Green Hell,Survival game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Guacamelee! 2,Action Games,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Guacamelee! Super Turbo Championship Edition,Beat-Em-Up,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Gunfire Reborn,First Person Shooter,4,Not available,Not available,,,
Gunfire Reborn,FPS,4,Not available,Not available,,,,
Guns Gore & Cannoli 2,Arcade,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Guns Gore & Cannoli,Arcade,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Guns of Icarus Alliance,Action Games,16,Not available,Not available,16 Players in Co-Op,,,
Gunscape,FPS,4,4,Not available,Supports Split-Screen,,,
Hammerwatch II,Action RPG,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Hammerwatch II,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Hammerwatch,Action RPG,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Happy Dungeons,Action RPG,4,4,Not available,,,,
Harvest Moon: Mad Dash,Puzzle Game,Not available,4,Not available,,,,
HAWKEN,Action Games,6,Not available,Not available,6 Players in Co-Op,,,
Heavenly Bodies,Simulation game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Heavenly Bodies,Simulation,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Heliborne,Flight,4,Not available,Not available,,,,
Hell Warders,Tower Defense game,4,Not available,Not available,,,,
HELLDIVERS 2,Third Person Shooter,4,Not available,Not available,,,
HELLDIVERS,Twin Stick Shooter game,4,4,4,,,,
Hello Engineer,Sandbox game,4,Not available,Not available,,,,
Hellraid,Action Games,4,Not available,Not available,,,,
Heroes of Hammerwatch - Ultimate Edition,Action RPG,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Hobo: Tough Life,Survival game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
